rank,accuracy,reward,false_green_count,wrong_red_count,support_score_green_min,green_min_source_agreement,allow_input_pdf_fulltext_green,cap_green_when_input_extraction_risky,title_match_threshold,predicted_distribution
55,0.9286,23,1,0,0.7,1,True,True,0.9,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
56,0.9286,23,1,0,0.7,1,True,True,0.86,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
57,0.9286,23,1,0,0.7,1,True,True,0.82,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
58,0.9286,23,1,0,0.55,1,True,True,0.9,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
59,0.9286,23,1,0,0.55,1,True,True,0.86,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
60,0.9286,23,1,0,0.55,1,True,True,0.82,"{""Yellow"": 8, ""Green"": 5, ""Red"": 1}"
61,0.8571,13,2,0,0.7,2,True,False,0.9,"{""Yellow"": 7, ""Green"": 6, ""Red"": 1}"
62,0.8571,13,2,0,0.7,2,True,False,0.86,"{""Yellow"": 7, ""Green"": 6, ""Red"": 1}"
63,0.8571,13,2,0,0.7,2,True,False,0.82,"{""Yellow"": 7, ""Green"": 6, ""Red"": 1}"
64,0.8571,13,2,0,0.55,2,True,False,0.9,"{""Yellow"": 7, ""Green"": 6, ""Red"": 1}"
65,0.8571,13,2,0,0.55,2,True,False,0.86,"{""Yellow"": 7, ""Green"": 6, ""Red"": 1}"
66,0.8571,13,2,0,0.55,2,True,False,0.82,"{""Yellow"": 7, ""Green"": 6, ""Red"": 1}"
67,0.8571,13,2,0,0.7,1,True,False,0.9,"{""Yellow"": 7, ""Green"": 6, ""Red"": 1}"
68,0.8571,13,2,0,0.7,1,True,False,0.86,"{""Yellow"": 7, ""Green"": 6, ""Red"": 1}"
69,0.8571,13,2,0,0.7,1,True,False,0.82,"{""Yellow"": 7, ""Green"": 6, ""Red"": 1}"
70,0.8571,13,2,0,0.55,1,True,False,0.9,"{""Yellow"": 7, ""Green"": 6, ""Red"": 1}"
71,0.8571,13,2,0,0.55,1,True,False,0.86,"{""Yellow"": 7, ""Green"": 6, ""Red"": 1}"
72,0.8571,13,2,0,0.55,1,True,False,0.82,"{""Yellow"": 7, ""Green"": 6, ""Red"": 1}"
73,0.7857,3,3,0,0.42,2,True,True,0.9,"{""Yellow"": 6, ""Green"": 7, ""Red"": 1}"
74,0.7857,3,3,0,0.42,2,True,True,0.86,"{""Yellow"": 6, ""Green"": 7, ""Red"": 1}"
75,0.7857,3,3,0,0.42,2,True,True,0.82,"{""Yellow"": 6, ""Green"": 7, ""Red"": 1}"
76,0.7857,3,3,0,0.32,2,True,True,0.9,"{""Yellow"": 6, ""Green"": 7, ""Red"": 1}"
77,0.7857,3,3,0,0.32,2,True,True,0.86,"{""Yellow"": 6, ""Green"": 7, ""Red"": 1}"
78,0.7857,3,3,0,0.32,2,True,True,0.82,"{""Yellow"": 6, ""Green"": 7, ""Red"": 1}"
79,0.7857,3,3,0,0.42,1,True,True,0.9,"{""Yellow"": 6, ""Green"": 7, ""Red"": 1}"
80,0.7857,3,3,0,0.42,1,True,True,0.86,"{""Yellow"": 6, ""Green"": 7, ""Red"": 1}"
81,0.7857,3,3,0,0.42,1,True,True,0.82,"{""Yellow"": 6, ""Green"": 7, ""Red"": 1}"
82,0.7857,3,3,0,0.32,1,True,True,0.9,"{""Yellow"": 6, ""Green"": 7, ""Red"": 1}"
83,0.7857,3,3,0,0.32,1,True,True,0.86,"{""Yellow"": 6, ""Green"": 7, ""Red"": 1}"
84,0.7857,3,3,0,0.32,1,True,True,0.82,"{""Yellow"": 6, ""Green"": 7, ""Red"": 1}"
85,0.7143,-7,4,0,0.42,2,True,False,0.9,"{""Yellow"": 5, ""Green"": 8, ""Red"": 1}"
86,0.7143,-7,4,0,0.42,2,True,False,0.86,"{""Yellow"": 5, ""Green"": 8, ""Red"": 1}"
87,0.7143,-7,4,0,0.42,2,True,False,0.82,"{""Yellow"": 5, ""Green"": 8, ""Red"": 1}"
88,0.7143,-7,4,0,0.42,1,True,False,0.9,"{""Yellow"": 5, ""Green"": 8, ""Red"": 1}"
89,0.7143,-7,4,0,0.42,1,True,False,0.86,"{""Yellow"": 5, ""Green"": 8, ""Red"": 1}"
90,0.7143,-7,4,0,0.42,1,True,False,0.82,"{""Yellow"": 5, ""Green"": 8, ""Red"": 1}"
91,0.6429,-17,5,0,0.32,2,True,False,0.9,"{""Yellow"": 4, ""Green"": 9, ""Red"": 1}"
92,0.6429,-17,5,0,0.32,2,True,False,0.86,"{""Yellow"": 4, ""Green"": 9, ""Red"": 1}"
93,0.6429,-17,5,0,0.32,2,True,False,0.82,"{""Yellow"": 4, ""Green"": 9, ""Red"": 1}"
94,0.6429,-17,5,0,0.32,1,True,False,0.9,"{""Yellow"": 4, ""Green"": 9, ""Red"": 1}"
95,0.6429,-17,5,0,0.32,1,True,False,0.86,"{""Yellow"": 4, ""Green"": 9, ""Red"": 1}"
96,0.6429,-17,5,0,0.32,1,True,False,0.82,"{""Yellow"": 4, ""Green"": 9, ""Red"": 1}"
